Date;Price;Open;High;Low;Change %
Jan 13, 2020;30.185;30.235;30.245;30.155;-0.15
Jan 14, 2020;30.255;30.205;30.325;30.195;0.23
Jan 15, 2020;30.305;30.265;30.335;30.245;0.17
Jan 16, 2020;30.380;30.310;30.420;30.260;0.25
Jan 17, 2020;30.400;30.380;30.540;30.360;0.07
Jan 20, 2020;30.360;30.380;30.450;30.320;-0.13
Jan 21, 2020;30.410;30.360;30.430;30.320;0.16
Jan 22, 2020;30.400;30.410;30.440;30.360;-0.03
Jan 23, 2020;30.510;30.400;30.590;30.370;0.36
Jan 24, 2020;30.570;30.510;30.610;30.480;0.20
Jan 27, 2020;30.710;30.580;30.740;30.550;0.46
Jan 28, 2020;30.830;30.710;30.930;30.700;0.39
Jan 29, 2020;30.970;30.830;31.060;30.760;0.45
Jan 30, 2020;31.100;30.970;31.300;30.970;0.42
Jan 31, 2020;31.220;31.100;31.260;31.080;0.39
Feb 03, 2020;31.060;31.220;31.280;31.020;-0.51
Feb 04, 2020;30.980;31.080;31.160;30.910;-0.26
Feb 05, 2020;30.990;30.980;31.280;30.920;0.03
Feb 06, 2020;31.170;30.990;31.200;30.970;0.58
Feb 07, 2020;31.330;31.140;31.380;31.140;0.51
Feb 10, 2020;31.315;31.315;31.405;31.225;-0.05
Feb 11, 2020;31.260;31.330;31.330;31.160;-0.18
Feb 12, 2020;31.115;31.265;31.265;31.085;-0.46
Feb 13, 2020;31.110;31.120;31.220;31.100;-0.02
Feb 14, 2020;31.210;31.150;31.230;31.120;0.32
Feb 17, 2020;31.185;31.215;31.245;31.135;-0.08
Feb 18, 2020;31.170;31.190;31.280;31.160;-0.05
Feb 19, 2020;31.210;31.210;31.230;31.160;0.13
Feb 20, 2020;31.450;31.210;31.510;31.190;0.77
Feb 21, 2020;31.600;31.450;31.710;31.440;0.48
Feb 24, 2020;31.670;31.640;31.790;31.640;0.22
Feb 25, 2020;31.750;31.700;31.770;31.560;0.25
Feb 26, 2020;31.850;31.750;31.940;31.740;0.31
Feb 27, 2020;31.680;31.840;31.870;31.590;-0.53
Feb 28, 2020;31.520;31.680;31.690;31.490;-0.51
Mar 02, 2020;31.490;31.530;31.590;31.290;-0.10
Mar 03, 2020;31.410;31.490;31.660;31.310;-0.25
Mar 04, 2020;31.360;31.420;31.450;31.260;-0.16
Mar 05, 2020;31.580;31.340;31.630;31.310;0.70
Mar 06, 2020;31.400;31.560;31.680;31.390;-0.57
Mar 09, 2020;31.470;31.420;31.630;31.370;0.22
Mar 10, 2020;31.430;31.470;31.550;31.350;-0.13
Mar 11, 2020;31.500;31.430;31.560;31.390;0.22
Mar 12, 2020;31.720;31.500;31.760;31.480;0.70
Mar 13, 2020;31.820;31.760;32.100;31.660;0.32
Mar 16, 2020;32.140;31.840;32.220;31.680;1.01
Mar 17, 2020;32.150;32.150;32.360;32.030;0.03
Mar 18, 2020;32.505;32.190;32.670;32.130;1.10
Mar 19, 2020;32.600;32.610;32.740;32.435;0.29
Mar 20, 2020;32.720;32.600;32.730;32.380;0.37
Mar 23, 2020;32.820;32.700;33.055;32.700;0.31
Mar 24, 2020;32.785;32.800;32.970;32.760;-0.11
